postcode,suburbs
3220,"South Geelong, Geelong, Newtown (Greater Geelong - Vic.)"
3221,"Ceres, Barrabool, Gnarwarre"
3222,"Clifton Springs, Marcus Hill, Curlewis +3"
3223,"Indented Head, Bellarine, Portarlington +1"
3224,"Leopold, Moolap"
3225,"Swan Island, Queenscliff, Swan Bay +1"
3226,"Ocean Grove"
3227,"Breamlea, Barwon Heads, Connewarre"
3228,"Jan Juc, Bells Beach, Torquay +1"
3230,"Anglesea"
3231,"Moggs Creek, Fairhaven, Big Hill (Surf Coast - Vic.) +2"
3232,"Lorne"
3233,"Petticoat Creek, Marengo, Skenes Creek North +3"
3234,"Sugarloaf, Grey River, Kennett River +3"
3235,"Pennyroyal, Benwerrin, Boonah +1"
3236,"Mount Sabine, Forrest"
3237,"Weeaproinah, Wattle Hill, Ferguson +5"
3238,"Hordern Vale, Johanna, Lavers Hill +1"
3239,"Kennedys Creek, Chapple Vale, Gellibrand +1"
3240,"Moriac, Gherang, Modewarre +3"
3241,"Wurdiboluc, Winchelsea South, Bambra +3"
3242,"Birregurra"
3243,"Whoorel, Murroon, Warncoort +1"
3249,"Coragulac, Dreeite South, Balintore +22"
3250,"Colac East, Colac West, Elliminyt +1"
3251,"Cundare, Eurack, Cundare North +2"
3254,"Cororooke"
3260,"Skibo, Koallah, Chocolyn +15"
3264,"Terang"
3265,"Noorat East, Taroon, Glenormiston North +14"
3266,"Bullaharre, Jancourt, Elingamite +7"
3267,"Scotts Creek"
3268,"Nirranda East, The Cove, Curdies River +14"
3269,"Waarre, Port Campbell, Princetown"
3270,"Peterborough"
3271,"Pura Pura, Darlington, Dundonnell"
3272,"Woorndoo, Mortlake"
3273,"Hexham"
3274,"Caramut"
3275,"Mailors Flat"
3276,"Minjah, Woolsthorpe"
3277,"Mepunga, Mepunga East, Mepunga West +3"
3278,"Purnim West, Purnim"
3279,"Wangoom, Ballangeich"
3280,"Dennington, Warrnambool"
3281,"Woodford, Bushfield, Winslow +1"
3282,"Illowa, Koroit"
3283,"Yarpturk, Southern Cross, Yangery +7"
3284,"Orford, Port Fairy"
3285,"Rosebrook, Tyrendarra East, Narrawong +5"
3286,"Knebsworth, Warrabkook, Macarthur"
3287,"Minhamite, Hawkesdale"
3289,"Purdeet, Tabor, Gazette +2"
3292,"Nelson"
3293,"Narrapumelap South, Nareeb, Glenthompson"
3294,"Woodhouse, Karabeal, Victoria Point +4"
3300,"Byaduk North, Hamilton"
3301,"Buckley Swamp, Morgiana, Mount Napier +12"
3302,"Grassdale, Branxholme"
3303,"Lake Condah, Wallacedale, Breakaway Creek +2"
3304,"Homerton, Lyons, Myamyn +9"
3305,"Dutton Way, Allestree, Portland North +9"
3309,"Digby"
3310,"Tahara West, Merino"
3311,"Corndale, Casterton"
3312,"Brimboal, Dunrobin, Nangeela +16"
3314,"Bulart, Mooralla, Cavendish +2"
3315,"Clover Flat, Hilgay, Muntham +14"
3317,"Harrow"
3318,"Connewirricoo, Ullswater, Kadnook +4"
3319,"Bringalbert, Benayeo, Apsley"
3321,"Hesse, Wingeel, Inverleigh"
3322,"Cressy"
3323,"Duverney, Foxhow, Berrybank"
3324,"Mount Bute, Mingay, Lismore"
3325,"Vite Vite, Vite Vite North, Derrinallum"
3328,"Teesdale"
3329,"Barunah Plains, Barunah Park, Shelford"
3330,"Rokewood"
3331,"Russells Bridge, She Oaks, Gheringhap +4"
3332,"Lethbridge"
3333,"Bamganie, Meredith"
3334,"Mount Doran, Cargerie, Bungal +2"
3335,"Rockbank, Grangefields, Thornhill Park +2"
3336,"Aintree, Deanside, Fraser Rise"
3337,"Melton West, Kurunjang, Harkness +2"
3338,"Melton South, Weir Views, Cobblebank +4"
3340,"Hopetoun Park, Long Forest, Bacchus Marsh +10"
3341,"Dales Creek, Korobeit, Pentland Hills +2"
3342,"Durdidwarrah, Colbrook, Bunding +6"
3345,"Gordon"
3350,"Bakery Hill, Eureka, Soldiers Hill +17"
3351,"Nintingbool, Springdallah, Piggoreet +24"
3352,"Cardigan Village, Bonshaw, Gong Gong +54"
3355,"Lake Gardens, Wendouree, Mitchell Park"
3356,"Delacombe, Sebastopol"
3357,"Buninyong"
3358,"Winter Valley"
3360,"Happy Valley (Golden Plains - Vic.), Willowvale, Pittong +2"
3361,"Bradvale, Carranballac, Skipton"
3363,"Creswick North, Langdons Hill, Glendaruel +4"
3364,"Smokeytown, Springmount, Broomfield +20"
3370,"Mount Cameron, Ullina, Glengower +1"
3371,"Stony Creek (Central Goldfields - Vic.), Mount Glasgow, Caralulup +7"
3373,"Main Lead, Nerring, Lake Wongan +10"
3374,"Great Western"
3375,"Bayindeen, Middle Creek, Buangor +1"
3377,"Rocky Point, Shays Flat, Armstrong +17"
3378,"Yalla-Y-Poora, Tatyoon"
3379,"Stavely, Chatsworth, Willaura North +4"
3380,"Stawell"
3381,"Bellellen, Mokepilly, Illawarra +8"
3384,"Wattle Creek, Tulkara, Frenchmans +7"
3385,"Riachella, Roses Gap, Deep Lead +5"
3387,"Germania, Kanya, Bolangum +8"
3388,"Banyena, Rupanyup"
3390,"Kewell, Murtoa"
3391,"Brim"
3392,"Boolite, Sheep Hills, Minyip"
3393,"Aubrey, Lah, Wilkur +7"
3395,"Rosebery, Reedy Dam, Kenmare +1"
3396,"Hopetoun"
3400,"Horsham"
3401,"Riverside, Haven, Quantong +28"
3407,"Englefield, Pigeon Ponds, Gatum +2"
3409,"Clear Lake, Wombelano, Mitre +6"
3412,"Goroke"
3413,"Ozenkadnook, Neuarpurr, Minimay +1"
3414,"Tarranyurk, Antwerp, Dimboola"
3415,"Miram"
3418,"Lorquon, Lawloit, Kiata +7"
3419,"Kaniva"
3420,"Lillimur, Serviceton, Telopea Downs"
3423,"Jeparit"
3424,"Albacutya, Yaapeet, Rainbow"
3427,"Diggers Rest"
3428,"Bulla"
3429,"Wildwood, Sunbury"
3430,"Clarkefield"
3431,"Riddells Creek"
3432,"Bolinda"
3433,"Monegeetta"
3434,"Cherokee, Kerrie, Springfield (Macedon Ranges - Vic.) +1"
3435,"Benloch, Goldie, Nulla Vale +1"
3437,"Gisborne South, Bullengarook, Gisborne"
3438,"New Gisborne"
3440,"Macedon"
3441,"Mount Macedon"
3442,"Cadello, Rochford, Cobaw +6"
3444,"Metcalfe East, Greenhill, Edgecombe +15"
3446,"Malmsbury, Drummond North"
3447,"Taradale"
3448,"Metcalfe, Sutton Grange, Elphinstone"
3450,"Moonlight Flat (Mount Alexander - Vic.), Castlemaine"
3451,"Chewton Bushlands, Irishtown, McKenzie Hill +12"
3453,"Ravenswood South, Harcourt, Harcourt North +1"
3458,"Newbury, Barrys Reef, Little Hampton +6"
3460,"Basalt, Daylesford"
3461,"Hepburn Springs, Sailors Hill, Elevated Plains +25"
3462,"Green Gully, Muckleford South, Welshmans Reef +2"
3463,"Tarrengower, Eastville, Gower +9"
3464,"Carisbrook"
3465,"Flagstaff, Simson, Craigie +18"
3467,"Avoca"
3468,"Mount Lonarch, Amphitheatre"
3469,"Nowhere Creek, Glenpatrick, Glenlofty +2"
3472,"Betley, Bromley, Bet Bet +7"
3475,"Archdale Junction, Burkes Flat, Archdale +4"
3477,"York Plains, Grays Bridge, Marnoo East +27"
3478,"Tanwood, Yawong Hills, Moonambel +4"
3480,"Laen, Laen East, Gil Gil +15"
3482,"Warmur, Massey, Watchem +1"
3483,"Birchip West, Karyrie, Ballapur +7"
3485,"Banyan, Watchupga, Willangie +1"
3487,"Lascelles"
3488,"Turriff East, Speed, Turriff"
3489,"Tempy"
3490,"Mittyack, Torrita, Tutye +5"
3491,"Patchewollock"
3494,"Nangiloc, Iraak, Colignan +1"
3496,"Cardross, Cullulleraine, Lindsay Point +5"
3498,"Irymple"
3500,"Mildura"
3501,"Nichols Point, Koorlong, Hattah"
3505,"Cabarita, Merbein West, Birdwoodton +4"
3506,"Cowangie"
3507,"Walpeup"
3509,"Linga, Underbool"
3512,"Carina, Murrayville, Panitya"
3515,"Wilsons Hill, Marong, Shelbourne"
3516,"Bridgewater On Loddon, Yarraberb, Derby +3"
3517,"Rheola, Kingower, Kurting +8"
3518,"Skinners Flat, Kurraca West, Kurraca +13"
3520,"Korong Vale, Kinypanial"
3521,"Pyalong"
3522,"Glenhope East, Tooborac"
3523,"Argyle, Heathcote South, Lake Eppalock +8"
3525,"Barrakee, Chirrip, Yeungroon East +9"
3527,"Jeruk, Wycheproof South, Glenloth East +10"
3529,"Kalpienung, Nullawil"
3530,"Cokum, Sutton, Warne +2"
3531,"Boigbeat, Berriwillock"
3533,"Tyenna, Bimbourie, Straten +9"
3537,"Minmindie, Catumnal, Gredgwin +6"
3540,"Oakvale, Cannie, Quambatook"
3542,"Tittybong, Lalbert"
3544,"Ultima East, Gowanford, Chinangin +4"
3546,"Cocamba, Winnambool, Gerahmin +4"
3549,"Happy Valley (Swan Hill - Vic.), Tol Tol, Robinvale +5"
3550,"Ironbark, West Bendigo, Quarry Hill +9"
3551,"Epsom, Ascot (Greater Bendigo - Vic.), Emu Creek +32"
3555,"Golden Gully, Golden Square, Big Hill (Greater Bendigo - Vic.) +1"
3556,"Jackass Flat, California Gully, Sailors Gully +7"
3557,"Barnadown, Fosterville, Muskerry +1"
3558,"Burnewang, Hunter, Runnymede +1"
3559,"Avonmore, Gobarup, Burramboot +2"
3561,"Ballendella, Fairy Dell (Campaspe - Vic.), Bonn +5"
3562,"Torrumbarry"
3563,"Lockington"
3564,"Echuca Village, Roslynmead, Wharparilla +5"
3565,"Kotta"
3566,"Gunbower"
3567,"Horfield, Leitchville"
3568,"Keely, Wee Wee Rup, Daltons Bridge +8"
3570,"Drummartin, Auchmore, Neilborough +2"
3571,"Kamarooka North, Tandarra, Pompapiel +1"
3572,"Prairie, Tennyson, Milloo"
3573,"Pine Grove, Calivil, Terrick Terrick East +1"
3575,"Jungaburra, Sylvaterre, Gladfield +6"
3576,"Durham Ox"
3579,"Gonn Crossing, Murrabit West, Pine View +26"
3580,"Koondrook"
3581,"Lake Charm"
3583,"Tresco"
3584,"Tresco West, Lake Boga"
3585,"Fish Point, Winlaton, Chillingollah +10"
3586,"Murrawee, Murraydale, Tyntynder South +3"
3588,"Woorinen South"
3589,"Woorinen, Woorinen North"
3590,"Beverford"
3591,"Vinifera"
3594,"Nyah"
3595,"Nyah West"
3596,"Wood Wood, Miralie, Towan"
3597,"Narrung, Kenley, Lake Powell +3"
3599,"Boundary Bend"
3607,"Tabilk"
3608,"Kirwans Bridge, Goulburn Weir, Graytown +5"
3610,"Murchison East, Moorilim, Murchison North +2"
3612,"Moora, Waranga Shores, Whroo +1"
3614,"Toolamba West, Toolamba"
3616,"Gillieston, Tatura East, Mooroopna North West +4"
3617,"Byrneside"
3618,"Merrigum"
3620,"Kyabram South, Wyuna East, St Germains +3"
3621,"Kyvalley, Yambuna, Tongala"
3622,"Strathallan, Koyuga"
3623,"Carag Carag, Stanhope"
3624,"Girgarre"
3629,"Ardmona, Mooroopna, Mooroopna North +2"
3630,"Shepparton, Caniambo"
3631,"Orrvale, Grahamvale, Kialla West +11"
3633,"Congupna"
3634,"Zeerust, Marionvale, Marungi +4"
3635,"Mundoona, Wunghnu, Kaarimba"
3636,"Drumanure, Naring, Invergordon +1"
3637,"Waaia, Yalca"
3638,"Kotupna, Yielima, Nathalia"
3639,"Picola West, Lower Moira, Barmah +1"
3640,"Katunga"
3641,"Ulupna, Mywee, Bearii +1"
3644,"Muckatah, Cobram East, Koonoomoo +2"
3646,"Mount Major, Nalinga, Yabba South +4"
3647,"Dookie College"
3649,"Katamatite East, Katamatite"
3658,"Waterford Park, Sunday Creek, Tyaak +5"
3659,"Tallarook"
3660,"Dropmore, Kerrisdale, Trawool +6"
3662,"Puckapunyal"
3663,"Mangalore"
3664,"Upton Hill, Avenel"
3665,"Locksley, Longwood"
3666,"Sheans Creek, Riggs Creek, Kelvin View +13"
3669,"Koonda, Gowangardie, Tamleugh North +8"
3670,"Tarnook, Baddaginnie, Warrenbayne"
3672,"Benalla"
3673,"Broken Creek, Lima, Upper Ryans Creek +12"
3675,"Mount Bruno, Boweya North, Glenrowan +7"
3677,"Wangaratta"
3678,"Bowser, Waldara, Oxley Flats +31"
3682,"Boralma, Lilliput, Norong +1"
3683,"Chiltern Valley, Cornishtown, Chiltern"
3685,"Carlyle, Gooramadda, Boorhaman North +3"
3687,"Wahgunyah"
3688,"Barnawartha, Indigo Valley"
3690,"Wodonga, West Wodonga"
