lga_name,month,bev_seen
Gympie,2022-08,6
Ipswich,2022-08,108
Isaac,2022-08,2
Livingstone,2022-08,6
Lockyer Valley,2022-08,8
Logan,2022-08,139
Mackay,2022-08,22
Maranoa,2022-08,2
Mareeba,2022-08,8
Moreton Bay,2022-08,226
Noosa,2022-08,62
Redland,2022-08,100
Rockhampton,2022-08,19
Scenic Rim,2022-08,26
Somerset,2022-08,5
South Burnett,2022-08,4
Southern Downs,2022-08,3
Sunshine Coast,2022-08,268
Tablelands,2022-08,2
Toowoomba,2022-08,51
Townsville,2022-08,70
Western Downs,2022-08,5
Whitsunday,2022-08,4
Banana,2022-09,1
Brisbane,2022-09,2338
Bundaberg,2022-09,19
Cairns,2022-09,67
Cassowary Coast,2022-09,3
Central Highlands,2022-09,8
Cook,2022-09,1
Douglas,2022-09,9
Fraser Coast,2022-09,21
Gladstone,2022-09,11
Gold Coast,2022-09,1017
Gympie,2022-09,11
Ipswich,2022-09,147
Isaac,2022-09,4
Livingstone,2022-09,8
Lockyer Valley,2022-09,13
Logan,2022-09,219
Mackay,2022-09,27
Maranoa,2022-09,2
Mareeba,2022-09,9
Moreton Bay,2022-09,317
Noosa,2022-09,83
North Burnett,2022-09,1
Redland,2022-09,131
Rockhampton,2022-09,22
Scenic Rim,2022-09,33
Somerset,2022-09,6
South Burnett,2022-09,6
Southern Downs,2022-09,7
Sunshine Coast,2022-09,365
Tablelands,2022-09,2
Toowoomba,2022-09,72
Townsville,2022-09,89
Western Downs,2022-09,13
Whitsunday,2022-09,4
Banana,2022-10,1
Brisbane,2022-10,2694
Bundaberg,2022-10,23
Cairns,2022-10,80
Cassowary Coast,2022-10,3
Central Highlands,2022-10,9
Cook,2022-10,1
Douglas,2022-10,9
Fraser Coast,2022-10,33
Gladstone,2022-10,11
Gold Coast,2022-10,1136
Gympie,2022-10,13
Hinchinbrook,2022-10,1
Ipswich,2022-10,171
Isaac,2022-10,4
Livingstone,2022-10,9
Lockyer Valley,2022-10,13
Logan,2022-10,257
Mackay,2022-10,31
Maranoa,2022-10,2
Mareeba,2022-10,9
Moreton Bay,2022-10,375
Noosa,2022-10,98
North Burnett,2022-10,1
Redland,2022-10,152
Rockhampton,2022-10,23
Scenic Rim,2022-10,40
Somerset,2022-10,8
South Burnett,2022-10,6
Southern Downs,2022-10,9
Sunshine Coast,2022-10,418
Tablelands,2022-10,4
Toowoomba,2022-10,83
Townsville,2022-10,112
Western Downs,2022-10,13
Whitsunday,2022-10,4
Banana,2022-11,1
Brisbane,2022-11,2976
Bundaberg,2022-11,26
Cairns,2022-11,89
Cassowary Coast,2022-11,3
Central Highlands,2022-11,9
Cook,2022-11,1
Douglas,2022-11,10
Fraser Coast,2022-11,35
Gladstone,2022-11,13
Gold Coast,2022-11,1254
Gympie,2022-11,15
Hinchinbrook,2022-11,1
Ipswich,2022-11,186
Isaac,2022-11,4
Livingstone,2022-11,9
Lockyer Valley,2022-11,15
Logan,2022-11,296
Mackay,2022-11,35
Maranoa,2022-11,2
Mareeba,2022-11,9
Moreton Bay,2022-11,415
Noosa,2022-11,113
North Burnett,2022-11,1
Redland,2022-11,161
Rockhampton,2022-11,24
Scenic Rim,2022-11,46
Somerset,2022-11,9
South Burnett,2022-11,8
Southern Downs,2022-11,9
Sunshine Coast,2022-11,464
Tablelands,2022-11,5
Toowoomba,2022-11,95
Townsville,2022-11,124
Western Downs,2022-11,14
Whitsunday,2022-11,6
Banana,2022-12,1
Brisbane,2022-12,3321
Bundaberg,2022-12,29
Burdekin,2022-12,2
Cairns,2022-12,104
Cassowary Coast,2022-12,4
Central Highlands,2022-12,10
Cook,2022-12,1
Douglas,2022-12,10
Fraser Coast,2022-12,43
Gladstone,2022-12,15
Gold Coast,2022-12,1510
Gympie,2022-12,20
Hinchinbrook,2022-12,1
Ipswich,2022-12,221
Isaac,2022-12,4
Livingstone,2022-12,9
Lockyer Valley,2022-12,18
Logan,2022-12,343
Mackay,2022-12,36
Maranoa,2022-12,2
Mareeba,2022-12,9
Moreton Bay,2022-12,475
Noosa,2022-12,131
North Burnett,2022-12,1
Redland,2022-12,184
Rockhampton,2022-12,28
Scenic Rim,2022-12,52
Somerset,2022-12,13
South Burnett,2022-12,9
Southern Downs,2022-12,10
Sunshine Coast,2022-12,531
Tablelands,2022-12,6
Toowoomba,2022-12,105
Townsville,2022-12,138
Western Downs,2022-12,15
Whitsunday,2022-12,9
Banana,2023-01,2
Brisbane,2023-01,4041
Bundaberg,2023-01,37
Burdekin,2023-01,3
Cairns,2023-01,124
Cassowary Coast,2023-01,6
Central Highlands,2023-01,11
Cook,2023-01,1
Douglas,2023-01,12
Etheridge,2023-01,1
Fraser Coast,2023-01,51
Gladstone,2023-01,17
Gold Coast,2023-01,1724
Goondiwindi,2023-01,1
Gympie,2023-01,29
Hinchinbrook,2023-01,2
Ipswich,2023-01,270
Isaac,2023-01,4
Livingstone,2023-01,12
Lockyer Valley,2023-01,20
Logan,2023-01,415
Mackay,2023-01,45
Maranoa,2023-01,2
Mareeba,2023-01,10
Moreton Bay,2023-01,603
Mount Isa,2023-01,1
Noosa,2023-01,151
North Burnett,2023-01,1
Redland,2023-01,226
Rockhampton,2023-01,32
Scenic Rim,2023-01,58
Somerset,2023-01,15
South Burnett,2023-01,9
Southern Downs,2023-01,11
Sunshine Coast,2023-01,658
Tablelands,2023-01,11
Toowoomba,2023-01,123
Townsville,2023-01,157
Western Downs,2023-01,15
Whitsunday,2023-01,14
Brisbane,2023-02,4641
Bundaberg,2023-02,47
Burdekin,2023-02,3
Cairns,2023-02,148
Cassowary Coast,2023-02,8
Central Highlands,2023-02,11
Cook,2023-02,1
Douglas,2023-02,13
Etheridge,2023-02,1
Fraser Coast,2023-02,61
Gladstone,2023-02,19
Gold Coast,2023-02,1875
Goondiwindi,2023-02,2
Gympie,2023-02,29
Hinchinbrook,2023-02,2
Ipswich,2023-02,317
Isaac,2023-02,4
Livingstone,2023-02,15
Lockyer Valley,2023-02,24
Logan,2023-02,465
Mackay,2023-02,54
Maranoa,2023-02,2
Mareeba,2023-02,11
Moreton Bay,2023-02,675
Mount Isa,2023-02,1
Noosa,2023-02,167
North Burnett,2023-02,1
Redland,2023-02,272
Rockhampton,2023-02,36
Scenic Rim,2023-02,70
Somerset,2023-02,16
South Burnett,2023-02,14
Southern Downs,2023-02,11
Sunshine Coast,2023-02,747
Tablelands,2023-02,12
Toowoomba,2023-02,138
Townsville,2023-02,170
Western Downs,2023-02,15
Whitsunday,2023-02,16
Brisbane,2023-03,5351
Bundaberg,2023-03,54
Burdekin,2023-03,3
Cairns,2023-03,184
Cassowary Coast,2023-03,11
Central Highlands,2023-03,13
Cook,2023-03,1
Douglas,2023-03,17
Etheridge,2023-03,1
Fraser Coast,2023-03,67
Gladstone,2023-03,21
Gold Coast,2023-03,2116
Goondiwindi,2023-03,2
Gympie,2023-03,36
Hinchinbrook,2023-03,2
Ipswich,2023-03,361
Isaac,2023-03,5
Livingstone,2023-03,21
Lockyer Valley,2023-03,30
Logan,2023-03,512
Mackay,2023-03,58
Maranoa,2023-03,3
Mareeba,2023-03,13
Moreton Bay,2023-03,779
Mount Isa,2023-03,1
Noosa,2023-03,182
North Burnett,2023-03,1
Redland,2023-03,318
Rockhampton,2023-03,45
Scenic Rim,2023-03,71
Somerset,2023-03,19
South Burnett,2023-03,15
Southern Downs,2023-03,14
Sunshine Coast,2023-03,840
Tablelands,2023-03,15
Toowoomba,2023-03,167
Townsville,2023-03,191
Western Downs,2023-03,15
Whitsunday,2023-03,18
Banana,2023-04,1
Brisbane,2023-04,6147
Bundaberg,2023-04,56
Burdekin,2023-04,3
Cairns,2023-04,204
Cassowary Coast,2023-04,13
Central Highlands,2023-04,13
Cook,2023-04,1
Douglas,2023-04,17
Etheridge,2023-04,1
Fraser Coast,2023-04,74
Gladstone,2023-04,27
Gold Coast,2023-04,2369
Goondiwindi,2023-04,2
Gympie,2023-04,39
Hinchinbrook,2023-04,2
Ipswich,2023-04,412
Isaac,2023-04,6
Livingstone,2023-04,25
Lockyer Valley,2023-04,32
Logan,2023-04,595
Mackay,2023-04,62
Maranoa,2023-04,3
Mareeba,2023-04,14
Moreton Bay,2023-04,897
Mount Isa,2023-04,1
Noosa,2023-04,198
North Burnett,2023-04,1
Redland,2023-04,353
Rockhampton,2023-04,52
Scenic Rim,2023-04,77
Somerset,2023-04,20
South Burnett,2023-04,21
Southern Downs,2023-04,19
Sunshine Coast,2023-04,935
