lga_name,month,bev_seen
Etheridge,2024-05,1
Flinders,2024-05,1
Fraser Coast,2024-05,225
Gladstone,2024-05,88
Gold Coast,2024-05,5815
Goondiwindi,2024-05,5
Gympie,2024-05,103
Hinchinbrook,2024-05,5
Ipswich,2024-05,1369
Isaac,2024-05,14
Livingstone,2024-05,77
Lockyer Valley,2024-05,104
Logan,2024-05,1831
Mackay,2024-05,175
Maranoa,2024-05,8
Mareeba,2024-05,35
Moreton Bay,2024-05,2709
Mount Isa,2024-05,7
Murweh,2024-05,1
Noosa,2024-05,481
North Burnett,2024-05,3
Redland,2024-05,983
Rockhampton,2024-05,194
Scenic Rim,2024-05,191
Somerset,2024-05,48
South Burnett,2024-05,45
Southern Downs,2024-05,54
Sunshine Coast,2024-05,2310
Tablelands,2024-05,51
Toowoomba,2024-05,527
Townsville,2024-05,641
Western Downs,2024-05,30
Whitsunday,2024-05,43
Balonne,2024-06,1
Banana,2024-06,6
Brisbane,2024-06,18264
Bundaberg,2024-06,189
Burdekin,2024-06,12
Cairns,2024-06,580
Cassowary Coast,2024-06,39
Central Highlands,2024-06,31
Charters Towers,2024-06,9
Cook,2024-06,1
Douglas,2024-06,39
Etheridge,2024-06,1
Flinders,2024-06,1
Fraser Coast,2024-06,235
Gladstone,2024-06,93
Gold Coast,2024-06,6131
Goondiwindi,2024-06,5
Gympie,2024-06,110
Hinchinbrook,2024-06,6
Ipswich,2024-06,1473
Isaac,2024-06,14
Livingstone,2024-06,79
Lockyer Valley,2024-06,109
Logan,2024-06,1969
Mackay,2024-06,189
Maranoa,2024-06,11
Mareeba,2024-06,37
Moreton Bay,2024-06,2871
Mount Isa,2024-06,7
Murweh,2024-06,1
Noosa,2024-06,507
North Burnett,2024-06,5
Redland,2024-06,1050
Rockhampton,2024-06,204
Scenic Rim,2024-06,203
Somerset,2024-06,54
South Burnett,2024-06,47
Southern Downs,2024-06,60
Sunshine Coast,2024-06,2438
Tablelands,2024-06,55
Toowoomba,2024-06,559
Townsville,2024-06,676
Western Downs,2024-06,36
Whitsunday,2024-06,46
Balonne,2024-07,1
Banana,2024-07,6
Brisbane,2024-07,19114
Bundaberg,2024-07,202
Burdekin,2024-07,12
Cairns,2024-07,616
Cassowary Coast,2024-07,39
Central Highlands,2024-07,32
Charters Towers,2024-07,9
Cook,2024-07,1
Douglas,2024-07,40
Etheridge,2024-07,1
Flinders,2024-07,1
Fraser Coast,2024-07,248
Gladstone,2024-07,93
Gold Coast,2024-07,6333
Goondiwindi,2024-07,5
Gympie,2024-07,114
Hinchinbrook,2024-07,6
Ipswich,2024-07,1556
Isaac,2024-07,14
Livingstone,2024-07,86
Lockyer Valley,2024-07,119
Logan,2024-07,2037
Mackay,2024-07,208
Maranoa,2024-07,11
Mareeba,2024-07,41
Moreton Bay,2024-07,3013
Mount Isa,2024-07,7
Murweh,2024-07,1
Noosa,2024-07,530
North Burnett,2024-07,5
Redland,2024-07,1098
Rockhampton,2024-07,214
Scenic Rim,2024-07,214
Somerset,2024-07,60
South Burnett,2024-07,48
Southern Downs,2024-07,62
Sunshine Coast,2024-07,2534
Tablelands,2024-07,58
Toowoomba,2024-07,583
Townsville,2024-07,710
Western Downs,2024-07,36
Whitsunday,2024-07,52
Balonne,2024-08,1
Banana,2024-08,6
Brisbane,2024-08,19845
Bundaberg,2024-08,205
Burdekin,2024-08,14
Cairns,2024-08,645
Cassowary Coast,2024-08,40
Central Highlands,2024-08,31
Charters Towers,2024-08,9
Cook,2024-08,1
Douglas,2024-08,40
Etheridge,2024-08,1
Flinders,2024-08,1
Fraser Coast,2024-08,261
Gladstone,2024-08,100
Gold Coast,2024-08,6515
Goondiwindi,2024-08,5
Gympie,2024-08,115
Hinchinbrook,2024-08,6
Ipswich,2024-08,1625
Isaac,2024-08,15
Livingstone,2024-08,89
Lockyer Valley,2024-08,124
Logan,2024-08,2129
Mackay,2024-08,215
Maranoa,2024-08,12
Mareeba,2024-08,43
Moreton Bay,2024-08,3150
Mount Isa,2024-08,7
Murweh,2024-08,1
Noosa,2024-08,548
North Burnett,2024-08,5
Redland,2024-08,1153
Rockhampton,2024-08,220
Scenic Rim,2024-08,218
Somerset,2024-08,66
South Burnett,2024-08,49
Southern Downs,2024-08,63
Sunshine Coast,2024-08,2613
Tablelands,2024-08,59
Toowoomba,2024-08,596
Townsville,2024-08,746
Western Downs,2024-08,37
Whitsunday,2024-08,52
Balonne,2024-09,1
Banana,2024-09,7
Brisbane,2024-09,20434
Bundaberg,2024-09,208
Burdekin,2024-09,16
Cairns,2024-09,666
Cassowary Coast,2024-09,41
Central Highlands,2024-09,32
Charters Towers,2024-09,10
Cook,2024-09,1
Douglas,2024-09,42
Etheridge,2024-09,1
Flinders,2024-09,1
Fraser Coast,2024-09,275
Gladstone,2024-09,106
Gold Coast,2024-09,6686
Goondiwindi,2024-09,6
Gympie,2024-09,117
Hinchinbrook,2024-09,7
Ipswich,2024-09,1681
Isaac,2024-09,16
Livingstone,2024-09,92
Lockyer Valley,2024-09,130
Logan,2024-09,2204
Mackay,2024-09,220
Maranoa,2024-09,13
Mareeba,2024-09,46
Moreton Bay,2024-09,3248
Mount Isa,2024-09,7
Murweh,2024-09,1
Noosa,2024-09,566
North Burnett,2024-09,7
Redland,2024-09,1193
Rockhampton,2024-09,231
Scenic Rim,2024-09,228
Somerset,2024-09,68
South Burnett,2024-09,52
Southern Downs,2024-09,63
Sunshine Coast,2024-09,2690
Tablelands,2024-09,61
Toowoomba,2024-09,607
Townsville,2024-09,787
Western Downs,2024-09,36
Whitsunday,2024-09,54
Balonne,2024-10,1
Banana,2024-10,7
Brisbane,2024-10,21076
Bundaberg,2024-10,214
Burdekin,2024-10,16
Cairns,2024-10,681
Cassowary Coast,2024-10,46
Central Highlands,2024-10,33
Charters Towers,2024-10,10
Cook,2024-10,1
Douglas,2024-10,43
Etheridge,2024-10,1
Flinders,2024-10,1
Fraser Coast,2024-10,290
Gladstone,2024-10,108
Gold Coast,2024-10,6912
Goondiwindi,2024-10,6
Gympie,2024-10,122
Hinchinbrook,2024-10,8
Ipswich,2024-10,1732
Isaac,2024-10,16
Livingstone,2024-10,98
Lockyer Valley,2024-10,135
Logan,2024-10,2310
Mackay,2024-10,230
Maranoa,2024-10,16
Mareeba,2024-10,47
Moreton Bay,2024-10,3399
Mount Isa,2024-10,7
Murweh,2024-10,1
Noosa,2024-10,591
North Burnett,2024-10,7
Redland,2024-10,1237
Rockhampton,2024-10,243
Scenic Rim,2024-10,238
Somerset,2024-10,72
South Burnett,2024-10,54
Southern Downs,2024-10,70
Sunshine Coast,2024-10,2805
Tablelands,2024-10,64
Toowoomba,2024-10,632
Townsville,2024-10,821
Western Downs,2024-10,41
Whitsunday,2024-10,57
Balonne,2024-11,1
Banana,2024-11,7
Barcoo,2024-11,1
Brisbane,2024-11,21710
Bundaberg,2024-11,216
Burdekin,2024-11,16
Cairns,2024-11,702
Cassowary Coast,2024-11,47
Central Highlands,2024-11,35
Charters Towers,2024-11,10
Cook,2024-11,1
Douglas,2024-11,45
Etheridge,2024-11,1
Flinders,2024-11,1
Fraser Coast,2024-11,301
Gladstone,2024-11,110
Gold Coast,2024-11,7129
Goondiwindi,2024-11,8
Gympie,2024-11,125
Hinchinbrook,2024-11,8
Ipswich,2024-11,1797
Isaac,2024-11,16
Livingstone,2024-11,100
Lockyer Valley,2024-11,137
Logan,2024-11,2383
Mackay,2024-11,236
Maranoa,2024-11,21
Mareeba,2024-11,51
Moreton Bay,2024-11,3509
Mount Isa,2024-11,7
Murweh,2024-11,1
Noosa,2024-11,600
North Burnett,2024-11,7
Redland,2024-11,1294
Rockhampton,2024-11,247
Scenic Rim,2024-11,249
Somerset,2024-11,75
South Burnett,2024-11,54
Southern Downs,2024-11,73
Sunshine Coast,2024-11,2897
Tablelands,2024-11,67
Toowoomba,2024-11,657
Townsville,2024-11,867
Western Downs,2024-11,41
Whitsunday,2024-11,60
Balonne,2024-12,1
Banana,2024-12,7
Barcoo,2024-12,1
Brisbane,2024-12,22491
Bundaberg,2024-12,225
Burdekin,2024-12,16
Cairns,2024-12,730
Cassowary Coast,2024-12,50
Central Highlands,2024-12,37
Charters Towers,2024-12,10
Cook,2024-12,1
Douglas,2024-12,45
Etheridge,2024-12,1
Flinders,2024-12,1
Fraser Coast,2024-12,306
Gladstone,2024-12,117
Gold Coast,2024-12,7368
Goondiwindi,2024-12,8
Gympie,2024-12,124
Hinchinbrook,2024-12,8
Ipswich,2024-12,1857
Isaac,2024-12,16
Livingstone,2024-12,105
Lockyer Valley,2024-12,143
Logan,2024-12,2474
Mackay,2024-12,248
Maranoa,2024-12,26
Mareeba,2024-12,51
Moreton Bay,2024-12,3645
Mount Isa,2024-12,7
Murweh,2024-12,1
Noosa,2024-12,621
North Burnett,2024-12,8
Redland,2024-12,1347
Rockhampton,2024-12,253
Scenic Rim,2024-12,254
Somerset,2024-12,78
South Burnett,2024-12,54
Southern Downs,2024-12,77
Sunshine Coast,2024-12,2995
Tablelands,2024-12,68
Toowoomba,2024-12,676
Townsville,2024-12,910
Western Downs,2024-12,41
Whitsunday,2024-12,63
Balonne,2025-01,2
Banana,2025-01,7
Barcoo,2025-01,1
Brisbane,2025-01,22930
Bundaberg,2025-01,231
Burdekin,2025-01,20
Cairns,2025-01,749
Cassowary Coast,2025-01,50
Central Highlands,2025-01,37
Charters Towers,2025-01,11
Cook,2025-01,1
Douglas,2025-01,48
Etheridge,2025-01,1
Flinders,2025-01,1
Fraser Coast,2025-01,316
Gladstone,2025-01,119
Gold Coast,2025-01,7506
Goondiwindi,2025-01,8
Gympie,2025-01,127
Hinchinbrook,2025-01,8
Ipswich,2025-01,1895
Isaac,2025-01,16
Livingstone,2025-01,108
Lockyer Valley,2025-01,144
Logan,2025-01,2538
Mackay,2025-01,255
Maranoa,2025-01,29
Mareeba,2025-01,51
Moreton Bay,2025-01,3753
Mount Isa,2025-01,7
Murweh,2025-01,1
Noosa,2025-01,638
North Burnett,2025-01,8
Redland,2025-01,1377
Rockhampton,2025-01,255
Scenic Rim,2025-01,255
Somerset,2025-01,80
South Burnett,2025-01,56
Southern Downs,2025-01,82
Sunshine Coast,2025-01,3064
Tablelands,2025-01,71
Toowoomba,2025-01,693
Townsville,2025-01,931
Western Downs,2025-01,41
Whitsunday,2025-01,64
Balonne,2025-02,2
Banana,2025-02,7
Barcoo,2025-02,1
Brisbane,2025-02,23491
Bundaberg,2025-02,235
Burdekin,2025-02,22
Cairns,2025-02,765
Cassowary Coast,2025-02,51
Central Highlands,2025-02,37
Charters Towers,2025-02,11
Cook,2025-02,1
Douglas,2025-02,50
Etheridge,2025-02,1
Flinders,2025-02,1
Fraser Coast,2025-02,325
Gladstone,2025-02,122
Gold Coast,2025-02,7703
Goondiwindi,2025-02,8
Gympie,2025-02,128
Hinchinbrook,2025-02,8
Ipswich,2025-02,1963
Isaac,2025-02,16
Livingstone,2025-02,110
Lockyer Valley,2025-02,149
Logan,2025-02,2604
Mackay,2025-02,261
Maranoa,2025-02,32
Mareeba,2025-02,53
Moreton Bay,2025-02,3851
Mount Isa,2025-02,7
Murweh,2025-02,1
Noosa,2025-02,655
North Burnett,2025-02,8
Redland,2025-02,1412
Rockhampton,2025-02,260
Scenic Rim,2025-02,262
Somerset,2025-02,81
South Burnett,2025-02,58
Southern Downs,2025-02,84
Sunshine Coast,2025-02,3133
Tablelands,2025-02,76
Toowoomba,2025-02,706
Townsville,2025-02,947
Western Downs,2025-02,41
Whitsunday,2025-02,66
Balonne,2025-03,2
Banana,2025-03,7
Barcoo,2025-03,1
Brisbane,2025-03,24216
Bundaberg,2025-03,239
Burdekin,2025-03,22
Cairns,2025-03,796
Cassowary Coast,2025-03,55
Central Highlands,2025-03,37
Charters Towers,2025-03,11
Cook,2025-03,1
Douglas,2025-03,50
Etheridge,2025-03,1
Flinders,2025-03,1
Fraser Coast,2025-03,340
Gladstone,2025-03,127
Gold Coast,2025-03,7919
Goondiwindi,2025-03,9
Gympie,2025-03,136
Hinchinbrook,2025-03,8
Ipswich,2025-03,2048
Isaac,2025-03,16
Livingstone,2025-03,115
Lockyer Valley,2025-03,154
Logan,2025-03,2692
Mackay,2025-03,271
Maranoa,2025-03,35
Mareeba,2025-03,53
Moreton Bay,2025-03,3988
Mount Isa,2025-03,7
Noosa,2025-03,674
North Burnett,2025-03,9
Redland,2025-03,1459
Rockhampton,2025-03,269
Scenic Rim,2025-03,264
Somerset,2025-03,83
South Burnett,2025-03,59
Southern Downs,2025-03,85
Sunshine Coast,2025-03,3239
Tablelands,2025-03,80
Toowoomba,2025-03,720
Townsville,2025-03,978
Western Downs,2025-03,43
Whitsunday,2025-03,70
Balonne,2025-04,2
Banana,2025-04,7
Barcoo,2025-04,1
Brisbane,2025-04,24840
Bundaberg,2025-04,246
Burdekin,2025-04,23
Cairns,2025-04,824
Cassowary Coast,2025-04,57
Central Highlands,2025-04,37
Charters Towers,2025-04,12
Cook,2025-04,1
Douglas,2025-04,50
Etheridge,2025-04,1
Flinders,2025-04,1
Fraser Coast,2025-04,347
Gladstone,2025-04,129
Gold Coast,2025-04,8093
Goondiwindi,2025-04,9
Gympie,2025-04,139
Hinchinbrook,2025-04,9
Ipswich,2025-04,2112
Isaac,2025-04,17
Livingstone,2025-04,117
Lockyer Valley,2025-04,157
Logan,2025-04,2786
Longreach,2025-04,1
Mackay,2025-04,284
Maranoa,2025-04,35
Mareeba,2025-04,54
Moreton Bay,2025-04,4097
Mount Isa,2025-04,7
Noosa,2025-04,692
North Burnett,2025-04,9
Redland,2025-04,1506
Rockhampton,2025-04,273
Scenic Rim,2025-04,273
Somerset,2025-04,85
South Burnett,2025-04,62
Southern Downs,2025-04,87
Sunshine Coast,2025-04,3312
Tablelands,2025-04,82
Toowoomba,2025-04,746
Townsville,2025-04,1015
Western Downs,2025-04,44
Whitsunday,2025-04,71
Balonne,2025-05,2
Banana,2025-05,8
Barcoo,2025-05,1
Brisbane,2025-05,25863
Bundaberg,2025-05,264
Burdekin,2025-05,23
Cairns,2025-05,862
Cassowary Coast,2025-05,62
Central Highlands,2025-05,39
Charters Towers,2025-05,12
Cook,2025-05,1
Douglas,2025-05,51
Etheridge,2025-05,1
Flinders,2025-05,2
Fraser Coast,2025-05,366
Gladstone,2025-05,133
Gold Coast,2025-05,8428
Goondiwindi,2025-05,8
Gympie,2025-05,140
Hinchinbrook,2025-05,9
Ipswich,2025-05,2193
Isaac,2025-05,18
Livingstone,2025-05,119
Lockyer Valley,2025-05,164
Logan,2025-05,2922
Longreach,2025-05,1
Mackay,2025-05,304
Maranoa,2025-05,36
Mareeba,2025-05,56
Moreton Bay,2025-05,4303
Mount Isa,2025-05,8
Noosa,2025-05,719
North Burnett,2025-05,9
Redland,2025-05,1567
Rockhampton,2025-05,284
Scenic Rim,2025-05,276
Somerset,2025-05,90
South Burnett,2025-05,64
Southern Downs,2025-05,88
Sunshine Coast,2025-05,3467
Tablelands,2025-05,82
Toowoomba,2025-05,777
Townsville,2025-05,1077
Western Downs,2025-05,44
Whitsunday,2025-05,72
Balonne,2025-06,2
Banana,2025-06,9
Barcoo,2025-06,1
Brisbane,2025-06,27075
Bundaberg,2025-06,276
Burdekin,2025-06,23
Cairns,2025-06,905
Cassowary Coast,2025-06,64
Central Highlands,2025-06,41
Charters Towers,2025-06,14
Cook,2025-06,1
Douglas,2025-06,51
Etheridge,2025-06,1
Flinders,2025-06,2
Fraser Coast,2025-06,390
Gladstone,2025-06,137
Gold Coast,2025-06,8815
Goondiwindi,2025-06,8
Gympie,2025-06,146
Hinchinbrook,2025-06,10
Ipswich,2025-06,2296
Isaac,2025-06,18
Livingstone,2025-06,126
Lockyer Valley,2025-06,174
Logan,2025-06,3069
Longreach,2025-06,2
Mackay,2025-06,318
Maranoa,2025-06,37
Mareeba,2025-06,58
Moreton Bay,2025-06,4578
Mount Isa,2025-06,10
Noosa,2025-06,746
North Burnett,2025-06,9
Pormpuraaw,2025-06,1
Redland,2025-06,1645
Rockhampton,2025-06,298
Scenic Rim,2025-06,292
Somerset,2025-06,92
South Burnett,2025-06,66
Southern Downs,2025-06,93
Sunshine Coast,2025-06,3626
Tablelands,2025-06,85
Toowoomba,2025-06,808
Townsville,2025-06,1127
Western Downs,2025-06,45
Whitsunday,2025-06,73
Balonne,2025-07,2
Banana,2025-07,9
Barcoo,2025-07,1
Brisbane,2025-07,27822
Bundaberg,2025-07,284
Burdekin,2025-07,23
Cairns,2025-07,949
Cassowary Coast,2025-07,65
Central Highlands,2025-07,41
Charters Towers,2025-07,14
Cook,2025-07,1
Douglas,2025-07,52
Etheridge,2025-07,1
Flinders,2025-07,2
Fraser Coast,2025-07,404
Gladstone,2025-07,144
Gold Coast,2025-07,9053
Goondiwindi,2025-07,8
Gympie,2025-07,152
Hinchinbrook,2025-07,11
Ipswich,2025-07,2371
Isaac,2025-07,18
Livingstone,2025-07,132
Lockyer Valley,2025-07,179
Logan,2025-07,3182
Longreach,2025-07,2
Mackay,2025-07,327
Maranoa,2025-07,37
Mareeba,2025-07,59
Moreton Bay,2025-07,4732
Mount Isa,2025-07,10
Noosa,2025-07,769
North Burnett,2025-07,9
Pormpuraaw,2025-07,1
Redland,2025-07,1697
Rockhampton,2025-07,309
Scenic Rim,2025-07,300
Somerset,2025-07,95
South Burnett,2025-07,68
Southern Downs,2025-07,93
Sunshine Coast,2025-07,3732
Tablelands,2025-07,87
Toowoomba,2025-07,833
Townsville,2025-07,1177
Weipa,2025-07,1
Western Downs,2025-07,46
Whitsunday,2025-07,77
Balonne,2025-08,2
Banana,2025-08,10
Barcoo,2025-08,1
Brisbane,2025-08,28641
Bundaberg,2025-08,295
Burdekin,2025-08,24
Cairns,2025-08,978
Cassowary Coast,2025-08,64
Central Highlands,2025-08,41
Charters Towers,2025-08,14
Cook,2025-08,1
Douglas,2025-08,53
Etheridge,2025-08,1
Flinders,2025-08,2
Fraser Coast,2025-08,417
Gladstone,2025-08,152
Gold Coast,2025-08,9323
Goondiwindi,2025-08,8
Gympie,2025-08,160
Hinchinbrook,2025-08,11
Ipswich,2025-08,2449
Isaac,2025-08,18
Livingstone,2025-08,134
Lockyer Valley,2025-08,182
Logan,2025-08,3301
Longreach,2025-08,2
Mackay,2025-08,339
Maranoa,2025-08,37
Mareeba,2025-08,63
Moreton Bay,2025-08,4902
Mount Isa,2025-08,10
Noosa,2025-08,789
North Burnett,2025-08,9
Pormpuraaw,2025-08,1
Redland,2025-08,1764
Rockhampton,2025-08,315
Scenic Rim,2025-08,300
Somerset,2025-08,100
South Burnett,2025-08,69
Southern Downs,2025-08,97
Sunshine Coast,2025-08,3858
Tablelands,2025-08,89
Toowoomba,2025-08,877
Townsville,2025-08,1216
Weipa,2025-08,1
Western Downs,2025-08,47
Whitsunday,2025-08,79
Balonne,2025-09,2
Banana,2025-09,12
Barcoo,2025-09,1
Brisbane,2025-09,29556
Bundaberg,2025-09,314
Burdekin,2025-09,24
Cairns,2025-09,1016
Cassowary Coast,2025-09,65
Central Highlands,2025-09,43
Charters Towers,2025-09,15
Cook,2025-09,1
Douglas,2025-09,54
Etheridge,2025-09,1
Flinders,2025-09,2
Fraser Coast,2025-09,449
Gladstone,2025-09,159
Gold Coast,2025-09,9634
Goondiwindi,2025-09,8
Gympie,2025-09,164
Hinchinbrook,2025-09,12
Ipswich,2025-09,2542
Isaac,2025-09,20
Livingstone,2025-09,139
Lockyer Valley,2025-09,189
Logan,2025-09,3428
Longreach,2025-09,2
Mackay,2025-09,353
Maranoa,2025-09,38
Mareeba,2025-09,66
Moreton Bay,2025-09,5120
Mount Isa,2025-09,10
Noosa,2025-09,807
North Burnett,2025-09,10
Pormpuraaw,2025-09,1
Redland,2025-09,1840
Rockhampton,2025-09,325
Scenic Rim,2025-09,306
Somerset,2025-09,100
South Burnett,2025-09,71
Southern Downs,2025-09,100
Sunshine Coast,2025-09,4029
Tablelands,2025-09,94
Toowoomba,2025-09,909
Townsville,2025-09,1268
Weipa,2025-09,1
Western Downs,2025-09,52
Whitsunday,2025-09,84
Balonne,2025-10,2
Banana,2025-10,12
Barcoo,2025-10,1
Brisbane,2025-10,30225
Bundaberg,2025-10,326
Burdekin,2025-10,26
Cairns,2025-10,1052
Cassowary Coast,2025-10,68
Central Highlands,2025-10,44
Charters Towers,2025-10,15
Cook,2025-10,2
Douglas,2025-10,54
Etheridge,2025-10,1
Flinders,2025-10,2
Fraser Coast,2025-10,458
Gladstone,2025-10,166
Gold Coast,2025-10,9877
Goondiwindi,2025-10,8
Gympie,2025-10,166
Hinchinbrook,2025-10,13
Ipswich,2025-10,2615
Isaac,2025-10,21
Livingstone,2025-10,142
Lockyer Valley,2025-10,197
Logan,2025-10,3518
Longreach,2025-10,2
Mackay,2025-10,362
Maranoa,2025-10,37
Mareeba,2025-10,70
Moreton Bay,2025-10,5274
Mount Isa,2025-10,11
Noosa,2025-10,829
North Burnett,2025-10,11
Pormpuraaw,2025-10,1
Redland,2025-10,1889
Rockhampton,2025-10,338
Scenic Rim,2025-10,309
Somerset,2025-10,102
South Burnett,2025-10,71
Southern Downs,2025-10,102
Sunshine Coast,2025-10,4160
Tablelands,2025-10,98
Toowoomba,2025-10,940
Townsville,2025-10,1295
Weipa,2025-10,1
Western Downs,2025-10,54
Whitsunday,2025-10,85
Balonne,2025-11,2
Banana,2025-11,12
Barcoo,2025-11,1
Brisbane,2025-11,30885
Bundaberg,2025-11,329
Burdekin,2025-11,26
Cairns,2025-11,1105
Cassowary Coast,2025-11,71
Central Highlands,2025-11,44
Charters Towers,2025-11,15
Cook,2025-11,2
Douglas,2025-11,55
Etheridge,2025-11,1
Flinders,2025-11,2
Fraser Coast,2025-11,471
Gladstone,2025-11,176
Gold Coast,2025-11,10171
Goondiwindi,2025-11,7
Gympie,2025-11,168
Hinchinbrook,2025-11,13
Ipswich,2025-11,2692
Isaac,2025-11,22
Livingstone,2025-11,150
Lockyer Valley,2025-11,202
Logan,2025-11,3629
Longreach,2025-11,2
Mackay,2025-11,375
Maranoa,2025-11,35
Mareeba,2025-11,73
Moreton Bay,2025-11,5420
Mount Isa,2025-11,13
Noosa,2025-11,836
North Burnett,2025-11,12
Pormpuraaw,2025-11,1
Redland,2025-11,1951
Rockhampton,2025-11,343
Scenic Rim,2025-11,316
Somerset,2025-11,108
South Burnett,2025-11,71
Southern Downs,2025-11,104
Sunshine Coast,2025-11,4290
Tablelands,2025-11,100
Toowoomba,2025-11,962
Torres,2025-11,1
Townsville,2025-11,1335
Weipa,2025-11,1
Western Downs,2025-11,53
Whitsunday,2025-11,88
Balonne,2025-12,2
Banana,2025-12,12
Barcoo,2025-12,1
Brisbane,2025-12,31824
Bundaberg,2025-12,341
Burdekin,2025-12,26
Cairns,2025-12,1157
Cassowary Coast,2025-12,73
Central Highlands,2025-12,46
Charters Towers,2025-12,15
Cook,2025-12,2
Doomadgee,2025-12,1
Douglas,2025-12,55
Etheridge,2025-12,1
Flinders,2025-12,2
Fraser Coast,2025-12,480
Gladstone,2025-12,185
Gold Coast,2025-12,10434
Goondiwindi,2025-12,8
Gympie,2025-12,176
Hinchinbrook,2025-12,14
Ipswich,2025-12,2806
Isaac,2025-12,23
Livingstone,2025-12,152
Lockyer Valley,2025-12,210
Logan,2025-12,3783
Longreach,2025-12,2
Mackay,2025-12,393
Maranoa,2025-12,35
Mareeba,2025-12,74
Moreton Bay,2025-12,5545
Mount Isa,2025-12,13
Noosa,2025-12,861
North Burnett,2025-12,12
Pormpuraaw,2025-12,1
Redland,2025-12,2008
Rockhampton,2025-12,349
Scenic Rim,2025-12,324
Somerset,2025-12,110
South Burnett,2025-12,71
Southern Downs,2025-12,105
Sunshine Coast,2025-12,4414
Tablelands,2025-12,104
Toowoomba,2025-12,989
Torres,2025-12,2
Townsville,2025-12,1382
Weipa,2025-12,2
Western Downs,2025-12,60
Whitsunday,2025-12,94
Winton,2025-12,1
Balonne,2026-01,2
Banana,2026-01,13
Barcoo,2026-01,1
Brisbane,2026-01,32451
Bundaberg,2026-01,346
Burdekin,2026-01,27
Cairns,2026-01,1195
Cassowary Coast,2026-01,74
Central Highlands,2026-01,46
Charters Towers,2026-01,20
Cook,2026-01,2
Doomadgee,2026-01,1
Douglas,2026-01,56
Etheridge,2026-01,1
Flinders,2026-01,2
Fraser Coast,2026-01,490
Gladstone,2026-01,193
Gold Coast,2026-01,10651
Goondiwindi,2026-01,9
Gympie,2026-01,177
Hinchinbrook,2026-01,14
Ipswich,2026-01,2884
Isaac,2026-01,23
Livingstone,2026-01,158
Lockyer Valley,2026-01,218
Logan,2026-01,3868
Longreach,2026-01,2
Mackay,2026-01,399
Maranoa,2026-01,36
Mareeba,2026-01,75
Moreton Bay,2026-01,5724
Mount Isa,2026-01,13
Noosa,2026-01,879
North Burnett,2026-01,12
Pormpuraaw,2026-01,1
Redland,2026-01,2069
Rockhampton,2026-01,356
Scenic Rim,2026-01,331
Somerset,2026-01,113
South Burnett,2026-01,72
Southern Downs,2026-01,111
Sunshine Coast,2026-01,4529
Tablelands,2026-01,105
Toowoomba,2026-01,1019
Torres,2026-01,2
Townsville,2026-01,1427
Weipa,2026-01,3
Western Downs,2026-01,65
Whitsunday,2026-01,97
Winton,2026-01,1
Balonne,2026-02,2
Banana,2026-02,13
Barcoo,2026-02,1
Brisbane,2026-02,33544
Bundaberg,2026-02,367
Burdekin,2026-02,27
Cairns,2026-02,1242
Cassowary Coast,2026-02,76
Central Highlands,2026-02,48
Charters Towers,2026-02,20
Cloncurry,2026-02,1
Cook,2026-02,2
Doomadgee,2026-02,1
Douglas,2026-02,58
Etheridge,2026-02,1
Flinders,2026-02,2
Fraser Coast,2026-02,510
Gladstone,2026-02,206
Gold Coast,2026-02,11045
Goondiwindi,2026-02,9
Gympie,2026-02,186
Hinchinbrook,2026-02,16
Ipswich,2026-02,2983
Isaac,2026-02,23
Livingstone,2026-02,162
Lockyer Valley,2026-02,223
Logan,2026-02,3998
Longreach,2026-02,2
Mackay,2026-02,410
Maranoa,2026-02,37
Mareeba,2026-02,76
McKinlay,2026-02,1
Moreton Bay,2026-02,5945
Mount Isa,2026-02,13
Noosa,2026-02,900
North Burnett,2026-02,12
Pormpuraaw,2026-02,1
Redland,2026-02,2200
Rockhampton,2026-02,374
Scenic Rim,2026-02,341
Somerset,2026-02,121
South Burnett,2026-02,76
Southern Downs,2026-02,114
Sunshine Coast,2026-02,4686
Tablelands,2026-02,110
Toowoomba,2026-02,1050
Torres,2026-02,3
Townsville,2026-02,1478
Weipa,2026-02,3
Western Downs,2026-02,67
Whitsunday,2026-02,99
Winton,2026-02,1
Balonne,2026-03,3
Banana,2026-03,16
Barcaldine,2026-03,1
Barcoo,2026-03,1
Brisbane,2026-03,34864
Bundaberg,2026-03,394
Burdekin,2026-03,28
Burke,2026-03,1
Cairns,2026-03,1310
Cassowary Coast,2026-03,80
Central Highlands,2026-03,49
Charters Towers,2026-03,21
Cloncurry,2026-03,1
Cook,2026-03,2
Doomadgee,2026-03,1
Douglas,2026-03,61
Etheridge,2026-03,1
Flinders,2026-03,2
Fraser Coast,2026-03,549
Gladstone,2026-03,220
Gold Coast,2026-03,11515
Goondiwindi,2026-03,9
Gympie,2026-03,204
Hinchinbrook,2026-03,19
Ipswich,2026-03,3163
Isaac,2026-03,27
Livingstone,2026-03,180
Lockyer Valley,2026-03,249
Logan,2026-03,4234
Longreach,2026-03,2
Mackay,2026-03,435
Maranoa,2026-03,37
Mareeba,2026-03,84
McKinlay,2026-03,1
Moreton Bay,2026-03,6312
Mount Isa,2026-03,15
Noosa,2026-03,958
North Burnett,2026-03,12
Pormpuraaw,2026-03,1
Redland,2026-03,2277
Rockhampton,2026-03,389
Scenic Rim,2026-03,369
