postcode,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,battery_kwh,battery_n,solar_kw,solar_n,chg_sites,chg_fast,chg_points
3225,5430,4147,4648,5161,5233,5207,5359,9,16,39,66,104,4051.91,182,9402.28900000001,1516,1,1,4
3226,17726,8670,13481,14181,14382,14502,14899,9,26,65,132,208,7848.774,311,21154.644,3542,1,1,4
3227,5455,2846,4424,4625,4571,4543,4657,8,18,35,66,109,3434.965,132,8005.408,1242,0,0,0
3228,24164,10887,17994,19328,19484,19783,20279,12,42,97,213,345,11457.008,458,28523.378,4287,3,3,14
3230,3221,2975,2984,3355,3298,3176,3224,3,7,15,38,63,2079.714,98,5862.231,931,0,0,0
3231,1559,1913,1567,1808,1761,1685,1754,3,10,16,26,54,1674.68,75,3587.523,580,0,0,0
3232,1323,1784,1453,1665,1572,1527,1526,5,10,10,15,17,539.506,26,1636.058,245,1,1,2
3233,2356,2564,2174,2321,2294,2260,2288,0,0,8,11,20,1596.076,60,4267.597,608,2,1,3
3235,511,262,461,480,487,491,500,0,3,3,3,5,629.88,21,966.595,139,0,0,0
3239,477,257,522,530,525,537,533,0,3,3,0,0,287.132,11,875.445,106,0,0,0
3240,2175,798,2101,2132,2183,2173,2274,0,0,12,13,36,1938.592,63,3267.431,481,0,0,0
3241,3059,1392,2832,2891,2956,3091,3137,3,0,4,8,15,1633.792,56,4200.003,628,2,0,3
3242,945,460,967,987,977,970,998,0,3,4,5,6,709.628,27,1473.865,224,0,0,0
3243,395,221,461,469,495,475,475,0,0,3,4,3,201.588,8,459.17,72,0,0,0
3249,3378,1506,3286,3331,3379,3386,3446,0,0,0,0,4,1693.72,53,3850.4,561,0,0,0
3250,12752,5826,10654,10879,10936,11049,11274,0,4,9,25,36,2852.542,105,10535.328,1628,3,3,15
3251,530,278,591,599,599,620,651,0,0,0,0,3,133.93,4,464.525,90,0,0,0
3260,4803,2357,4499,4612,4681,4673,4700,0,0,3,8,8,1227.52,41,5462.755,653,1,1,1
3264,2250,1094,2267,2294,2332,2322,2351,3,0,0,0,4,591.434,23,2879.005,348,0,0,0
3265,2819,1167,2664,2698,2744,2803,2835,0,0,0,4,6,1015.41,29,5816.071,459,0,0,0
3266,3046,1399,2945,3034,3114,3171,3219,3,0,3,7,7,1487.08,40,4872.592,492,0,0,0
3268,2565,1172,2781,2855,2897,2938,2925,0,0,3,3,6,1139.081,30,4719.365,429,0,0,0
3269,690,442,676,659,692,693,690,0,0,3,3,3,397.392,9,1561.097,144,2,1,5
3272,1614,832,1515,1584,1595,1616,1633,0,0,0,3,3,173.96,10,1914.725,280,0,0,0
3275,485,165,416,432,440,456,460,0,0,0,0,0,149.072,6,369.481,61,0,0,0
3276,429,194,487,509,517,507,511,0,0,0,0,0,11.04,1,612.77,72,0,0,0
3277,1835,775,1700,1740,1790,1809,1837,0,0,0,0,3,772.3,27,2663.345,252,0,0,0
3278,344,132,343,344,347,340,349,0,0,0,0,0,168.16,4,637.86,67,0,0,0
3279,310,116,303,292,303,312,320,0,0,0,0,3,223.2,5,573.255,51,0,0,0
3280,33290,15194,27452,28133,28427,28749,29452,9,23,67,121,167,7312.466,311,24155.281,3634,2,2,10
3281,1858,677,1668,1710,1761,1806,1825,0,0,0,4,6,804.247,32,2881.188,351,0,0,0
3282,2480,1089,2354,2395,2456,2518,2580,0,0,3,4,10,1016.26,45,2535.679,376,0,0,0
3283,1414,618,1234,1249,1291,1335,1383,0,0,0,0,3,599.554,27,1964.052,245,0,0,0
3284,3851,2386,3278,3369,3368,3331,3381,0,3,4,19,31,963.538,49,3875.661,565,2,0,3
3285,1241,597,1235,1255,1309,1316,1314,3,0,3,4,6,473.64,18,1334.283,217,0,0,0
