postcode,vehicles,bev,hybrid,recent_vehicles,recent_bev,quarter
3000,23011,601,701,4438,380,2023Q2
3000,23397,750,716,5345,553,2023Q3
3000,23590,836,780,6099,656,2023Q4
3000,24337,971,884,4209,698,2024Q1
3000,25190,1107,1067,5304,834,2024Q2
3000,24612,1186,1161,6275,935,2024Q3
3000,24418,1246,1185,7033,1010,2024Q4
3000,23428,1321,1302,3876,460,2025Q1
3000,23264,1462,1399,4706,632,2025Q2
3000,22765,1559,1556,5478,806,2025Q3
3000,23586,1713,1746,6871,1029,2025Q4
3000,22913,1847,1857,3644,791,2026Q1
3000,23381,2217,1892,4685,1201,2026Q2
3002,4807,89,111,552,48,2023Q2
3002,4704,92,114,647,54,2023Q3
3002,5015,110,132,936,73,2023Q4
3002,5015,131,135,605,68,2024Q1
3002,4950,149,130,727,85,2024Q2
3002,4905,156,146,845,95,2024Q3
3002,4748,157,158,924,104,2024Q4
3002,4693,168,181,529,61,2025Q1
3002,4602,186,190,637,81,2025Q2
3002,4665,204,214,754,103,2025Q3
3002,4611,227,229,839,122,2025Q4
3002,4597,241,248,474,82,2026Q1
3002,4586,261,269,587,102,2026Q2
3003,4679,93,185,475,41,2023Q2
3003,4701,99,183,600,49,2023Q3
3003,4775,109,192,718,58,2023Q4
3003,4852,118,189,448,44,2024Q1
3003,4886,127,194,554,50,2024Q2
3003,4882,130,209,638,57,2024Q3
3003,4939,136,220,728,64,2024Q4
3003,4978,142,226,382,26,2025Q1
3003,5087,157,250,504,39,2025Q2
3003,5025,174,235,592,57,2025Q3
3003,5090,197,245,701,71,2025Q4
3003,5073,200,272,374,46,2026Q1
3003,5112,221,294,479,68,2026Q2
3004,7704,88,90,851,50,2023Q2
3004,7770,99,100,1056,63,2023Q3
3004,7822,113,107,1201,77,2023Q4
3004,7893,128,121,859,59,2024Q1
3004,8059,138,136,1153,72,2024Q2
3004,8186,151,153,1420,86,2024Q3
3004,8299,164,178,1681,103,2024Q4
3004,8515,183,196,1262,66,2025Q1
3004,8657,205,212,1547,87,2025Q2
3004,8755,227,234,1739,98,2025Q3
3004,8777,238,264,1845,116,2025Q4
3004,8942,258,287,1244,79,2026Q1
3004,9037,356,308,1465,169,2026Q2
3006,13253,134,253,2050,77,2023Q2
3006,13245,159,275,2442,98,2023Q3
3006,13283,170,292,2767,112,2023Q4
3006,13180,205,314,1864,120,2024Q1
3006,12559,218,344,1798,132,2024Q2
3006,12590,243,403,2151,156,2024Q3
3006,12457,242,455,2446,160,2024Q4
3006,12412,261,509,1403,79,2025Q1
3006,12418,286,535,1654,107,2025Q2
3006,12399,312,551,1904,132,2025Q3
3006,12567,340,587,2257,156,2025Q4
3006,12287,357,616,1236,101,2026Q1
3006,12269,420,625,1403,141,2026Q2
3008,8727,148,122,1415,71,2023Q2
3008,8959,166,155,1728,91,2023Q3
3008,8943,188,159,2016,114,2023Q4
3008,9148,226,195,1398,104,2024Q1
3008,9112,235,220,1601,119,2024Q2
3008,9139,266,267,1857,155,2024Q3
3008,9224,306,301,2057,193,2024Q4
3008,10688,354,411,1221,153,2025Q1
3008,10871,412,456,1513,202,2025Q2
3008,11114,447,469,1710,228,2025Q3
3008,11236,495,515,1988,267,2025Q4
3008,10478,498,518,991,145,2026Q1
3008,10707,549,544,1231,197,2026Q2
3011,15072,131,263,1408,75,2023Q2
3011,15088,145,278,1613,93,2023Q3
3011,15198,158,308,1842,107,2023Q4
3011,15191,167,344,1226,90,2024Q1
3011,15182,198,386,1511,119,2024Q2
3011,15262,219,442,1861,139,2024Q3
3011,15222,250,471,2096,168,2024Q4
3011,15064,278,507,1306,106,2025Q1
3011,15157,299,550,1570,128,2025Q2
3011,15130,339,599,1816,171,2025Q3
3011,15097,369,637,2013,195,2025Q4
3011,15156,427,662,1076,158,2026Q1
3011,15216,478,709,1338,213,2026Q2
3012,21294,155,330,1591,96,2023Q2
3012,21602,180,346,1864,126,2023Q3
3012,21562,196,367,2138,145,2023Q4
3012,21673,243,380,1242,130,2024Q1
3012,21994,273,424,1579,155,2024Q2
3012,21945,299,432,1892,180,2024Q3
3012,21842,331,441,2141,212,2024Q4
3012,21796,379,483,1214,130,2025Q1
3012,21961,421,513,1472,168,2025Q2
3012,22005,475,577,1801,231,2025Q3
3012,22201,504,602,2093,267,2025Q4
3012,22201,596,620,1160,244,2026Q1
3012,22148,713,689,1522,361,2026Q2
3013,10002,100,144,670,64,2023Q2
3013,10059,127,157,829,94,2023Q3
3013,10139,146,168,971,113,2023Q4
3013,10203,164,180,594,98,2024Q1
3013,10153,182,186,718,117,2024Q2
3013,10168,196,191,864,130,2024Q3
3013,10253,217,212,985,150,2024Q4
3013,10318,231,227,532,61,2025Q1
3013,10402,264,248,672,91,2025Q2
3013,10471,295,258,821,122,2025Q3
3013,10448,336,282,948,158,2025Q4
3013,10528,369,295,567,128,2026Q1
3013,10605,421,316,715,181,2026Q2
3015,12352,104,150,971,80,2023Q2
3015,12456,120,160,1147,94,2023Q3
3015,12583,153,180,1359,123,2023Q4
3015,12787,172,189,836,97,2024Q1
3015,12948,191,211,1068,112,2024Q2
3015,13063,202,235,1240,122,2024Q3
3015,13171,222,261,1458,143,2024Q4
3015,13306,253,295,825,77,2025Q1
3015,13363,279,308,1019,102,2025Q2
3015,13515,312,339,1267,133,2025Q3
3015,13162,350,351,1263,169,2025Q4
3015,13220,401,396,738,134,2026Q1
3015,13250,469,416,932,198,2026Q2
3016,12640,130,138,880,83,2023Q2
3016,12634,155,152,1041,108,2023Q3
3016,12646,160,160,1208,117,2023Q4
3016,12735,179,180,752,96,2024Q1
3016,12896,196,196,945,113,2024Q2
3016,12875,217,209,1097,133,2024Q3
3016,12999,239,230,1296,155,2024Q4
3016,13146,263,240,694,74,2025Q1
3016,13285,295,270,910,104,2025Q2
3016,13313,326,294,1083,133,2025Q3
3016,13325,348,313,1266,161,2025Q4
3016,13382,388,343,750,129,2026Q1
3016,13476,453,378,957,185,2026Q2
3018,10884,104,159,956,61,2023Q2
3018,10882,114,159,1046,71,2023Q3
3018,10863,136,169,1121,89,2023Q4
3018,10952,142,182,682,71,2024Q1
3018,11032,156,207,888,85,2024Q2
3018,11068,171,219,1056,100,2024Q3
3018,11101,193,240,1247,121,2024Q4
3018,11103,203,233,685,65,2025Q1
3018,11208,231,243,881,94,2025Q2
3018,11222,253,244,1052,115,2025Q3
3018,11224,269,266,1215,130,2025Q4
3018,11310,300,291,653,96,2026Q1
3018,11293,331,301,826,129,2026Q2
3019,8134,33,133,765,20,2023Q2
3019,8320,40,141,958,29,2023Q3
3019,8422,41,158,1062,33,2023Q4
3019,8458,43,175,672,25,2024Q1
3019,8487,52,185,814,31,2024Q2
3019,8450,59,212,886,37,2024Q3
3019,8360,68,222,1030,46,2024Q4
3019,8417,86,247,607,33,2025Q1
3019,8473,93,265,717,40,2025Q2
3019,8486,103,266,777,53,2025Q3
3019,8336,119,270,819,67,2025Q4
3019,8204,124,277,367,55,2026Q1
3019,8163,164,302,442,88,2026Q2
3020,36197,809,705,2268,140,2023Q2
3020,36571,825,743,2857,172,2023Q3
3020,37039,867,770,3391,197,2023Q4
3020,37311,897,803,2195,130,2024Q1
3020,37421,939,847,2737,169,2024Q2
3020,37393,956,906,3197,190,2024Q3
3020,37429,1001,940,3679,220,2024Q4
3020,37477,1019,981,1976,116,2025Q1
3020,37710,1093,1095,2506,170,2025Q2
3020,38003,1194,1167,3028,266,2025Q3
3020,36940,499,1251,3156,241,2025Q4
3020,37104,556,1321,1810,176,2026Q1
3020,37276,656,1379,2254,274,2026Q2
3021,35141,80,776,1427,53,2023Q2
3021,35377,89,803,1704,64,2023Q3
3021,35666,107,818,2001,82,2023Q4
3021,35769,124,841,1278,72,2024Q1
3021,36090,139,886,1622,86,2024Q2
3021,36317,153,914,1877,96,2024Q3
3021,36442,175,962,2155,112,2024Q4
3021,36507,181,982,1276,53,2025Q1
3021,36641,211,1024,1602,74,2025Q2
3021,36838,229,1058,1877,89,2025Q3
3021,36954,236,1121,2165,101,2025Q4
3021,37017,274,1176,1248,81,2026Q1
3021,37025,339,1234,1571,138,2026Q2
3022,2755,4,52,106,2,2023Q2
3022,2766,5,51,132,3,2023Q3
3022,2744,7,51,164,5,2023Q4
3022,2743,7,57,109,4,2024Q1
3022,2756,9,57,129,4,2024Q2
3022,2733,11,57,146,6,2024Q3
3022,2719,12,57,162,7,2024Q4
3022,2742,14,71,102,4,2025Q1
3022,2739,18,72,125,7,2025Q2
3022,2707,23,75,141,11,2025Q3
3022,2674,23,81,162,12,2025Q4
3022,2688,25,91,93,9,2026Q1
3022,2724,34,98,121,16,2026Q2
3023,47452,247,865,3552,157,2023Q2
3023,47879,309,894,4327,216,2023Q3
3023,48272,335,955,5102,248,2023Q4
3023,48727,382,998,3371,207,2024Q1
3023,48874,429,1083,4035,254,2024Q2
3023,49017,475,1180,4654,297,2024Q3
3023,48974,514,1234,5206,336,2024Q4
3023,49231,560,1312,3072,187,2025Q1
3023,49465,647,1413,3776,277,2025Q2
3023,49493,716,1440,4453,346,2025Q3
3023,49421,800,1503,5057,426,2025Q4
3023,49533,891,1640,3029,336,2026Q1
3023,49843,1088,1726,3790,529,2026Q2
3024,22844,133,403,1677,96,2023Q2
3024,23360,169,431,2091,134,2023Q3
3024,23853,202,467,2489,166,2023Q4
3024,24342,233,497,1612,138,2024Q1
3024,25004,276,549,2030,179,2024Q2
3024,25579,299,608,2437,202,2024Q3
3024,25964,339,678,2872,245,2024Q4
3024,26449,387,756,1628,150,2025Q1
3024,26865,464,817,2140,217,2025Q2
3024,27471,519,863,2507,275,2025Q3
3024,28020,578,971,2925,332,2025Q4
3024,28653,652,1067,1677,260,2026Q1
3024,29169,797,1202,2214,409,2026Q2
3025,13546,73,345,2444,49,2023Q2
3025,13786,83,356,2868,60,2023Q3
3025,14076,103,403,3308,85,2023Q4
3025,14165,153,484,2111,112,2024Q1
3025,14326,189,574,2516,147,2024Q2
3025,14522,239,679,2990,196,2024Q3
3025,14612,286,791,3361,244,2024Q4
3025,14736,333,912,2371,180,2025Q1
3025,14916,371,1025,2780,209,2025Q2
3025,15017,403,1099,3143,236,2025Q3
3025,15250,458,1183,3526,288,2025Q4
3025,15458,485,1234,2314,175,2026Q1
3025,15621,533,1255,2679,251,2026Q2
3026,12612,94,147,1980,33,2023Q2
3026,12946,98,162,2421,44,2023Q3
3026,13337,108,181,2939,57,2023Q4
3026,13488,125,188,1928,54,2024Q1
3026,13805,145,208,2423,74,2024Q2
3026,14398,153,270,2890,82,2024Q3
3026,14424,155,291,3218,94,2024Q4
3026,14179,156,262,1701,43,2025Q1
3026,14561,173,289,2053,53,2025Q2
3026,14874,181,330,2374,73,2025Q3
3026,16188,955,362,2975,175,2025Q4
3026,16669,1023,402,1621,165,2026Q1
3026,16774,1062,416,1979,192,2026Q2
3027,6092,117,113,611,94,2023Q2
3027,6207,127,117,731,105,2023Q3
3027,6222,144,134,824,125,2023Q4
3027,6324,161,147,544,98,2024Q1
3027,6384,182,164,657,121,2024Q2
3027,6402,192,183,732,127,2024Q3
3027,6409,209,208,832,142,2024Q4
3027,6332,230,210,448,80,2025Q1
3027,6325,251,240,555,98,2025Q2
3027,6340,283,261,657,126,2025Q3
3027,6439,302,280,749,146,2025Q4
3027,6463,326,333,433,107,2026Q1
3027,6510,373,372,559,154,2026Q2
3028,20576,71,374,1311,49,2023Q2
3028,20707,79,384,1613,58,2023Q3
3028,20877,99,385,1918,77,2023Q4
3028,20985,111,403,1179,65,2024Q1
3028,21222,120,471,1547,77,2024Q2
3028,21155,137,524,1820,96,2024Q3
3028,21165,145,558,2061,104,2024Q4
3028,21197,165,589,1200,65,2025Q1
3028,21122,191,614,1450,90,2025Q2
3028,21006,206,632,1650,105,2025Q3
3028,21034,231,653,1888,124,2025Q4
3028,20103,247,535,841,83,2026Q1
3028,20181,300,565,1062,134,2026Q2
3029,99936,669,2353,9207,486,2023Q2
3029,101554,810,2542,11099,616,2023Q3
3029,102894,921,2695,12048,713,2023Q4
3029,104851,1070,2842,8042,616,2024Q1
3029,107102,1230,3137,9942,778,2024Q2
3029,109162,1356,3361,11709,898,2024Q3
3029,110399,1491,3582,13325,1021,2024Q4
3029,112270,1593,3902,7944,532,2025Q1
3029,114654,1811,4252,9969,743,2025Q2
3029,116641,2048,4629,11759,968,2025Q3
3029,118003,2223,5002,13423,1149,2025Q4
3029,119632,2493,5445,7809,925,2026Q1
3029,121684,3116,6124,10110,1523,2026Q2
3030,85889,719,1296,6700,509,2023Q2
3030,86601,873,1352,8141,666,2023Q3
3030,87039,966,1468,9532,753,2023Q4
3030,87560,1115,1570,5891,635,2024Q1
3030,88556,1304,1713,7432,821,2024Q2
3030,89055,1426,1871,8710,942,2024Q3
3030,89382,1600,2044,10028,1111,2024Q4
3030,89987,1720,2205,5574,607,2025Q1
3030,90533,1969,2388,7024,849,2025Q2
3030,90564,2194,2580,8365,1081,2025Q3
3030,91010,2392,2749,9601,1277,2025Q4
3030,90914,2619,2889,5429,950,2026Q1
3030,91567,3137,3200,6990,1466,2026Q2
3031,10190,88,189,655,58,2023Q2
3031,10200,98,200,807,69,2023Q3
3031,10305,114,214,979,87,2023Q4
3031,10320,134,232,606,77,2024Q1
3031,10398,153,240,741,96,2024Q2
3031,10521,163,258,850,106,2024Q3
3031,10497,167,274,960,112,2024Q4
3031,10565,185,306,511,54,2025Q1
3031,10558,204,329,642,74,2025Q2
3031,10580,231,351,782,97,2025Q3
3031,10690,264,366,942,123,2025Q4
3031,10787,297,394,575,106,2026Q1
3031,10973,348,436,718,152,2026Q2
3032,18534,195,259,1261,120,2023Q2
3032,18609,225,278,1527,154,2023Q3
3032,18719,250,294,1818,180,2023Q4
3032,18872,276,321,1143,142,2024Q1
3032,19020,308,346,1410,174,2024Q2
3032,19018,341,381,1665,209,2024Q3
3032,19123,373,402,1906,243,2024Q4
3032,19217,402,466,1017,125,2025Q1
3032,19367,447,531,1274,171,2025Q2
3032,19370,492,574,1506,216,2025Q3
3032,19367,552,622,1751,270,2025Q4
3032,19332,610,659,979,187,2026Q1
3032,19389,696,710,1252,279,2026Q2
3033,12287,75,151,949,41,2023Q2
3033,12350,85,160,1127,50,2023Q3
3033,12511,94,181,1328,57,2023Q4
3033,12640,104,199,865,48,2024Q1
3033,12694,110,209,1079,56,2024Q2
3033,12747,117,226,1274,64,2024Q3
3033,12712,130,238,1445,76,2024Q4
3033,12752,141,260,806,37,2025Q1
3033,12897,163,278,1020,56,2025Q2
3033,12940,177,317,1222,70,2025Q3
3033,12993,202,339,1432,96,2025Q4
3033,13050,227,366,794,84,2026Q1
3033,13072,296,391,1009,152,2026Q2
3034,8433,33,110,467,24,2023Q2
3034,8443,45,123,581,36,2023Q3
3034,8500,58,126,701,47,2023Q4
3034,8533,67,133,446,41,2024Q1
3034,8577,85,144,533,55,2024Q2
3034,8566,87,159,621,60,2024Q3
3034,8562,99,174,723,70,2024Q4
3034,8574,109,193,367,37,2025Q1
3034,8618,123,203,479,53,2025Q2
3034,8645,128,210,568,64,2025Q3
3034,8669,148,227,666,84,2025Q4
3034,8710,172,240,403,71,2026Q1
3034,8777,204,272,512,101,2026Q2
3036,4982,21,78,313,16,2023Q2
3036,4987,27,76,374,23,2023Q3
3036,5027,26,83,455,23,2023Q4
3036,5029,31,82,285,18,2024Q1
3036,5037,34,84,351,21,2024Q2
3036,5088,37,89,414,25,2024Q3
3036,5128,44,96,479,32,2024Q4
3036,5057,57,103,257,18,2025Q1
3036,5060,63,109,320,21,2025Q2
3036,5021,68,115,377,24,2025Q3
3036,5049,75,119,458,33,2025Q4
3036,5074,86,123,240,26,2026Q1
3036,5093,102,134,302,41,2026Q2
3037,36224,140,568,2235,87,2023Q2
3037,36380,158,575,2731,105,2023Q3
3037,36587,179,599,3179,127,2023Q4
3037,36778,209,619,2051,115,2024Q1
3037,36927,233,661,2540,140,2024Q2
3037,37099,259,739,2965,167,2024Q3
3037,37071,303,780,3364,209,2024Q4
3037,37268,332,878,1861,115,2025Q1
3037,37258,383,946,2347,163,2025Q2
3037,37286,429,1001,2830,206,2025Q3
3037,37331,477,1052,3228,254,2025Q4
3037,37333,538,1111,1856,202,2026Q1
3037,37517,641,1179,2301,302,2026Q2
3038,20669,76,338,1164,43,2023Q2
3038,20806,93,348,1463,61,2023Q3
3038,20885,98,358,1696,66,2023Q4
3038,20888,113,370,1015,65,2024Q1
3038,20972,126,391,1257,73,2024Q2
3038,20919,138,404,1479,82,2024Q3
3038,20954,163,426,1771,109,2024Q4
3038,20935,174,453,994,66,2025Q1
3038,20927,187,482,1226,81,2025Q2
3038,20830,216,510,1451,102,2025Q3
3038,20806,239,540,1689,126,2025Q4
3038,20713,277,571,956,97,2026Q1
3038,20729,345,618,1181,161,2026Q2
3039,10988,99,131,1290,65,2023Q2
3039,11083,115,138,1560,80,2023Q3
3039,11161,133,154,1751,99,2023Q4
3039,11290,150,175,1307,77,2024Q1
3039,11494,181,202,1634,106,2024Q2
3039,11453,195,244,1775,120,2024Q3
3039,11437,204,287,1886,130,2024Q4
3039,11485,219,320,1090,66,2025Q1
3039,11542,248,345,1321,90,2025Q2
3039,13155,310,415,2221,138,2025Q3
3039,13378,350,487,2574,175,2025Q4
3039,13746,393,573,1506,135,2026Q1
3039,13865,438,602,1822,182,2026Q2
3040,18634,182,205,1422,120,2023Q2
3040,18623,195,216,1671,131,2023Q3
3040,18764,216,231,1980,151,2023Q4
3040,18882,246,263,1281,125,2024Q1
3040,18796,263,300,1540,144,2024Q2
3040,18857,284,333,1784,166,2024Q3
3040,18897,323,371,2028,206,2024Q4
3040,18938,347,412,1085,121,2025Q1
3040,19053,391,460,1405,166,2025Q2
3040,19081,418,504,1671,196,2025Q3
3040,19102,450,528,1921,230,2025Q4
3040,19123,495,571,1101,163,2026Q1
3040,19273,584,626,1411,255,2026Q2
3041,12368,124,139,1786,83,2023Q2
3041,12501,158,168,2048,119,2023Q3
3041,12758,229,197,2400,202,2023Q4
3041,12895,262,243,1691,187,2024Q1
3041,13283,313,312,2064,238,2024Q2
3041,13135,313,363,2327,241,2024Q3
3041,13550,392,355,2691,323,2024Q4
3041,13447,407,373,1762,185,2025Q1
3041,13711,439,428,2154,225,2025Q2
3041,13692,450,480,2308,231,2025Q3
3041,13801,485,537,2684,276,2025Q4
3041,13525,453,605,1847,177,2026Q1
3041,13855,537,680,2272,281,2026Q2
3042,15856,79,434,1491,43,2023Q2
3042,16013,100,430,1716,63,2023Q3
3042,15971,102,430,1950,68,2023Q4
3042,16165,131,450,1097,69,2024Q1
3042,16448,144,470,1385,80,2024Q2
3042,16459,152,485,1611,93,2024Q3
3042,16584,174,498,1885,111,2024Q4
3042,16724,190,513,1106,55,2025Q1
3042,16783,215,540,1399,84,2025Q2
3042,16825,244,566,1676,105,2025Q3
3042,16942,273,590,1951,133,2025Q4
3042,17137,299,626,1167,102,2026Q1
3042,17167,358,713,1501,161,2026Q2
3043,28659,296,557,7315,200,2023Q2
3043,29772,294,561,8908,210,2023Q3
3043,30997,331,603,10826,256,2023Q4
3043,30814,345,695,7430,209,2024Q1
3043,30515,385,740,8168,253,2024Q2
3043,30411,376,793,9098,265,2024Q3
3043,30705,386,934,10153,277,2024Q4
3043,30611,423,1046,5865,128,2025Q1
3043,30397,418,1168,6798,137,2025Q2
3043,29963,397,1453,8487,146,2025Q3
3043,30317,408,1588,9780,154,2025Q4
3043,30762,444,1686,6973,105,2026Q1
3043,30192,516,1722,7575,233,2026Q2
3044,18473,101,272,1071,54,2023Q2
3044,18591,127,280,1312,77,2023Q3
3044,18786,146,295,1591,94,2023Q4
3044,18892,168,317,982,90,2024Q1
3044,19040,195,344,1214,116,2024Q2
3044,19191,220,394,1456,140,2024Q3
3044,19266,242,434,1716,165,2024Q4
3044,19344,252,485,955,99,2025Q1
3044,19362,298,521,1179,143,2025Q2
3044,19435,342,563,1402,178,2025Q3
3044,19435,367,617,1612,200,2025Q4
3044,19449,415,675,894,146,2026Q1
3044,19623,521,744,1219,247,2026Q2
3046,23802,128,446,1292,64,2023Q2
3046,24048,142,451,1561,78,2023Q3
3046,24430,158,470,1844,96,2023Q4
3046,24569,175,505,1161,82,2024Q1
3046,24828,191,559,1434,97,2024Q2
3046,24924,208,613,1700,115,2024Q3
3046,24906,226,686,1974,138,2024Q4
3046,24905,244,759,1141,73,2025Q1
3046,24927,264,800,1388,95,2025Q2
3046,24994,301,880,1644,131,2025Q3
3046,25045,336,951,1933,161,2025Q4
3046,25138,371,1017,1142,125,2026Q1
3046,25364,458,1136,1460,211,2026Q2
3047,14416,49,416,638,23,2023Q2
3047,14631,51,420,776,26,2023Q3
3047,14814,50,442,932,30,2023Q4
3047,14917,58,451,614,26,2024Q1
3047,15118,60,484,771,30,2024Q2
3047,15149,58,512,889,29,2024Q3
3047,15158,64,527,1027,32,2024Q4
3047,15159,61,536,574,15,2025Q1
3047,15144,64,546,719,17,2025Q2
3047,15174,74,573,860,25,2025Q3
3047,15180,89,602,1012,35,2025Q4
3047,15235,111,648,613,33,2026Q1
3047,15356,132,679,769,60,2026Q2
3048,12582,36,376,534,12,2023Q2
3048,12696,39,378,640,14,2023Q3
3048,12839,41,383,765,15,2023Q4
3048,12944,47,392,520,10,2024Q1
3048,13108,51,419,638,17,2024Q2
3048,13169,57,430,735,25,2024Q3
3048,13201,58,440,830,27,2024Q4
3048,13104,61,450,434,17,2025Q1
3048,13017,69,469,551,26,2025Q2
3048,13076,78,489,655,34,2025Q3
3048,13117,94,498,746,47,2025Q4
3048,13019,102,513,405,41,2026Q1
3048,13038,111,551,509,50,2026Q2
3049,7802,31,104,468,22,2023Q2
3049,7869,34,102,574,25,2023Q3
3049,7892,34,105,664,26,2023Q4
3049,7913,43,116,422,20,2024Q1
3049,8008,50,149,549,27,2024Q2
3049,8038,54,159,675,32,2024Q3
3049,8085,60,170,803,38,2024Q4
3049,8115,63,177,515,22,2025Q1
3049,8164,72,196,625,29,2025Q2
3049,8164,87,222,718,42,2025Q3
3049,8173,99,242,826,53,2025Q4
3049,8191,112,282,433,44,2026Q1
3049,8211,128,308,536,61,2026Q2
3051,8521,117,249,782,59,2023Q2
3051,8592,130,263,945,73,2023Q3
3051,8582,135,273,1107,73,2023Q4
3051,8615,154,289,654,57,2024Q1
3051,8664,159,307,803,67,2024Q2
3051,8607,174,320,934,86,2024Q3
3051,8692,187,339,1071,98,2024Q4
3051,8589,198,285,631,54,2025Q1
3051,8724,217,311,815,65,2025Q2
3051,8747,240,317,993,91,2025Q3
3051,8861,259,330,1155,106,2025Q4
3051,8880,280,362,692,67,2026Q1
3051,8972,305,367,841,98,2026Q2
3052,2956,45,75,283,34,2023Q2
3052,2819,51,82,321,42,2023Q3
3052,2841,57,88,364,49,2023Q4
3052,2865,61,98,242,29,2024Q1
3052,2897,73,127,324,39,2024Q2
3052,2905,79,149,385,47,2024Q3
3052,2839,91,158,418,58,2024Q4
3052,2884,95,179,288,31,2025Q1
3052,2928,107,198,366,35,2025Q2
3052,2914,107,202,395,36,2025Q3
3052,2924,105,224,444,39,2025Q4
3052,2852,117,227,220,23,2026Q1
3052,2877,144,239,283,57,2026Q2
3053,5736,50,125,466,28,2023Q2
3053,5756,51,140,538,31,2023Q3
3053,5826,60,142,642,40,2023Q4
3053,5822,72,166,427,40,2024Q1
3053,5829,84,182,539,50,2024Q2
3053,5810,85,186,607,51,2024Q3
3053,5785,92,208,702,58,2024Q4
3053,5800,90,220,426,22,2025Q1
3053,5850,100,237,527,31,2025Q2
3053,5864,110,257,648,41,2025Q3
3053,5976,121,282,740,51,2025Q4
3053,5948,130,295,372,34,2026Q1
3053,5930,156,305,430,61,2026Q2
3054,4228,52,60,229,32,2023Q2
3054,4234,55,69,266,36,2023Q3
3054,4273,59,76,312,40,2023Q4
3054,4267,66,72,179,29,2024Q1
3054,4287,77,79,233,40,2024Q2
3054,4270,82,83,273,45,2024Q3
3054,4285,95,91,324,58,2024Q4
3054,4338,101,96,168,31,2025Q1
3054,4336,108,104,218,36,2025Q2
3054,4349,121,110,261,44,2025Q3
3054,4357,131,115,299,54,2025Q4
3054,4375,139,119,170,33,2026Q1
3054,4367,155,123,221,51,2026Q2
3055,8192,53,157,386,33,2023Q2
3055,8236,59,162,474,39,2023Q3
3055,8242,69,179,571,48,2023Q4
3055,8274,82,177,342,41,2024Q1
3055,8278,94,176,415,53,2024Q2
3055,8284,104,193,495,63,2024Q3
3055,8284,117,214,584,76,2024Q4
3055,8326,127,233,311,36,2025Q1
3055,8376,143,246,405,53,2025Q2
3055,8390,162,262,499,70,2025Q3
3055,8409,179,273,564,82,2025Q4
3055,8464,197,301,344,65,2026Q1
3055,8524,255,318,449,115,2026Q2
3056,17272,157,236,2003,81,2023Q2
3056,17329,174,243,2342,100,2023Q3
3056,17377,189,258,2712,113,2023Q4
3056,17561,211,269,1554,92,2024Q1
3056,17730,243,293,2059,122,2024Q2
3056,17680,270,316,2474,145,2024Q3
3056,17709,305,347,2886,178,2024Q4
3056,17668,328,370,1691,104,2025Q1
3056,17725,367,393,2093,138,2025Q2
3056,17782,415,415,2536,190,2025Q3
3056,17880,449,476,2910,221,2025Q4
3056,18003,494,511,1548,148,2026Q1
3056,18021,590,543,1949,241,2026Q2
3057,7146,61,109,362,42,2023Q2
3057,7142,66,118,442,48,2023Q3
3057,7296,74,124,521,55,2023Q4
3057,7325,89,131,332,40,2024Q1
3057,7381,109,139,402,56,2024Q2
3057,7399,123,146,473,65,2024Q3
3057,7392,132,152,526,76,2024Q4
3057,7477,141,169,277,42,2025Q1
3057,7533,159,174,346,57,2025Q2
3057,7578,180,190,430,83,2025Q3
3057,7620,204,208,519,101,2025Q4
3057,7619,228,217,319,77,2026Q1
3057,7644,269,232,403,115,2026Q2
3058,24321,208,568,1557,101,2023Q2
3058,24434,226,597,1789,119,2023Q3
3058,24618,250,632,2065,140,2023Q4
3058,24859,283,704,1352,117,2024Q1
3058,25029,319,747,1694,157,2024Q2
3058,25080,362,806,1978,190,2024Q3
3058,25097,411,821,2252,236,2024Q4
3058,25036,445,897,1234,145,2025Q1
3058,25245,485,984,1586,185,2025Q2
3058,25327,542,1024,1841,229,2025Q3
3058,25365,592,1099,2155,279,2025Q4
3058,25273,650,1149,1303,190,2026Q1
3058,25409,774,1221,1677,318,2026Q2
3059,17148,105,242,1261,69,2023Q2
3059,17433,122,249,1525,84,2023Q3
3059,17774,138,263,1821,101,2023Q4
3059,18026,152,282,1173,79,2024Q1
3059,18341,170,312,1459,100,2024Q2
3059,18535,187,349,1727,117,2024Q3
3059,18696,217,384,1974,145,2024Q4
3059,18814,236,438,1054,83,2025Q1
3059,19068,263,486,1352,109,2025Q2
3059,19357,312,547,1647,153,2025Q3
3059,19527,354,595,1916,183,2025Q4
3059,19837,385,651,1121,129,2026Q1
3059,20221,460,746,1474,207,2026Q2
3060,10008,61,340,493,19,2023Q2
3060,10164,69,371,618,27,2023Q3
3060,10217,71,377,718,34,2023Q4
3060,10360,74,380,450,24,2024Q1
3060,10513,84,399,546,36,2024Q2
3060,10641,88,437,624,39,2024Q3
3060,10697,103,464,731,52,2024Q4
3060,10759,113,469,418,31,2025Q1
3060,10849,133,511,496,45,2025Q2
3060,11041,148,577,614,60,2025Q3
3060,11123,156,618,717,70,2025Q4
3060,11111,160,637,411,53,2026Q1
3060,11238,191,690,526,83,2026Q2
3061,13772,61,335,1460,13,2023Q2
3061,13874,66,362,1773,17,2023Q3
3061,13988,68,396,2075,19,2023Q4
3061,14227,71,450,1244,11,2024Q1
3061,14305,76,475,1478,12,2024Q2
3061,14410,82,488,1810,25,2024Q3
3061,14484,84,498,2144,29,2024Q4
3061,14539,92,551,1143,25,2025Q1
3061,14698,99,581,1392,32,2025Q2
