postcode,median_income,individuals,income_group
3614,58690,620,3
3616,51942,3479,1
3618,44547,441,1
3620,49347,4846,1
3621,47699,1541,1
3622,48012,280,1
3623,46099,519,1
3624,49812,313,1
3629,50582,5297,1
3630,49813,18197,1
3631,56726,9686,2
3633,49550,416,1
3634,50287,1212,1
3635,43558,347,1
3636,50454,3053,1
3637,45022,352,1
3638,52213,1297,2
3639,46552,303,1
3640,43856,687,1
3641,52268,697,2
3644,48231,5945,1
3646,51749,367,1
3649,45155,298,1
3658,57432,3717,3
3659,55503,445,2
3660,50268,4406,1
3662,86568,497,5
3664,57265,769,3
3665,45836,234,1
3666,48303,2891,1
3669,41550,824,1
3670,38023,358,1
3672,49570,6226,1
3673,44764,1145,1
3675,47773,1256,1
3677,54363,11199,2
3678,51966,4503,1
3682,53421,394,2
3683,51648,1070,1
3685,53164,1981,2
3687,53683,667,2
3688,56203,978,2
3690,57290,21355,3
3691,62499,8869,4
3695,47992,335,1
3697,43719,352,1
3698,51594,641,1
3699,48658,712,1
3700,51562,876,1
3701,45384,658,1
3707,46938,1013,1
3711,43756,350,1
3712,42027,210,1
3713,48200,515,1
3714,47194,2197,1
3715,41293,213,1
3717,46348,1984,1
3719,41192,293,1
3720,47960,449,1
3722,49784,3741,1
3723,42391,1934,1
3725,51596,426,1
3726,47756,233,1
3728,48509,384,1
3730,52006,5733,2
3732,44435,399,1
3735,51259,478,1
3737,49332,2868,1
3740,51025,761,1
3741,49040,2232,1
3744,47958,296,1
3746,53249,222,2
3747,52734,3118,2
3749,50539,1339,1
3750,55762,18883,2
3752,60737,16199,4
3753,61240,4659,4
3754,62919,31818,4
3756,58796,11107,3
3757,59181,5572,3
3758,59800,1354,3
3759,61591,690,4
3760,52798,266,2
3761,56339,784,2
3763,59880,1058,3
3764,59152,6324,3
3765,61325,4235,4
3766,65289,739,4
3767,63391,756,4
3770,59889,2052,3
3775,59907,2596,3
3777,54029,6506,2
3779,41713,304,1
3781,60498,2709,4
3782,59626,4986,3
3783,60047,1544,3
3786,63335,959,4
3787,58095,671,3
3788,56460,1124,2
3791,59023,903,3
3792,62011,650,4
3793,54754,2204,2
3795,56795,921,2
3796,61148,6047,4
3797,52445,2169,2
